               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.081969,            0.022326,            0.024139,          0.00032258,             0.10714,          0.00019851,          3.8051e-05,            0.064404,           0.0092416,            0.017234,          0.00033922,          0.00033922,            0.096939
                  35,            0.085202,            0.020348,            0.023858,          0.00032051,             0.10714,          0.00019732,          4.3574e-05,            0.064228,           0.0092247,            0.017217,          0.00034915,          0.00034915,            0.096849
                  36,            0.082707,            0.023535,            0.023179,          0.00022046,            0.071429,          0.00013246,          3.8637e-05,            0.064217,           0.0091888,            0.017196,          0.00035908,          0.00035908,            0.096759
                  37,            0.083123,            0.022062,            0.025013,          0.00022046,            0.071429,          0.00013345,          3.8887e-05,            0.064222,           0.0091655,            0.017181,            0.000369,            0.000369,            0.096669
                  38,             0.08198,            0.025715,             0.02345,          0.00014775,            0.035714,          7.9894e-05,          1.5979e-05,             0.06453,           0.0090941,            0.017168,          0.00037892,          0.00037892,            0.096579
                  39,            0.081081,            0.024026,            0.023093,          0.00014201,            0.035714,          8.0169e-05,          1.6034e-05,            0.064658,           0.0090438,            0.017158,          0.00038883,          0.00038883,            0.096489
                  40,            0.083317,            0.021708,            0.023994,          0.00014548,            0.035714,          8.0249e-05,           1.605e-05,            0.064634,           0.0090133,            0.017143,          0.00039874,          0.00039874,            0.096399
                  41,             0.08387,            0.021573,             0.02267,                   0,                   0,                   0,                   0,            0.064768,           0.0089679,            0.017133,          0.00040864,          0.00040864,            0.096309
                  42,            0.080881,            0.022876,            0.023627,          0.00014172,            0.035714,            7.89e-05,           1.578e-05,            0.064526,           0.0089676,             0.01712,          0.00041854,          0.00041854,            0.096219
                  43,            0.084048,            0.024633,            0.022778,          0.00028719,            0.071429,          0.00016838,          3.2731e-05,              0.0645,           0.0089477,            0.017103,          0.00042843,          0.00042843,            0.096128
                  44,            0.083485,             0.02154,            0.025103,          0.00014877,            0.035714,          8.0028e-05,          1.6006e-05,            0.064649,            0.008897,            0.017092,          0.00043832,          0.00043832,            0.096038
                  45,            0.085221,            0.022191,            0.023159,           0.0001581,            0.035714,          8.4593e-05,          1.6919e-05,             0.06478,           0.0088605,            0.017082,           0.0004482,           0.0004482,            0.095948
                  46,            0.080268,            0.024203,            0.024304,           0.0001467,            0.035714,          7.8451e-05,           1.569e-05,            0.064996,           0.0088175,            0.017074,          0.00045808,          0.00045808,            0.095858
                  47,            0.081477,            0.026066,            0.023304,          0.00014443,            0.035714,          7.8739e-05,          1.5748e-05,            0.065232,           0.0087681,            0.017067,          0.00046795,          0.00046795,            0.095768
                  48,            0.080482,            0.023683,            0.023825,                   0,                   0,                   0,                   0,            0.065517,           0.0087264,            0.017057,          0.00047782,          0.00047782,            0.095678
                  49,            0.082634,            0.024518,            0.024741,                   0,                   0,                   0,                   0,            0.065793,           0.0086885,            0.017049,          0.00048768,          0.00048768,            0.095588
                  50,            0.085959,            0.022171,            0.025239,          0.00025419,            0.071429,          0.00014988,          2.2043e-05,             0.06586,           0.0086688,            0.017042,          0.00049754,          0.00049754,            0.095498
                  51,            0.086045,            0.021871,            0.023348,          0.00021887,            0.071429,          0.00013452,          2.6904e-05,             0.06567,           0.0086911,            0.017037,          0.00050739,          0.00050739,            0.095407
                  52,            0.084701,            0.020637,            0.023011,          0.00022482,            0.071429,          0.00013274,          1.9407e-05,            0.065448,           0.0086983,            0.017036,          0.00051723,          0.00051723,            0.095317
                  53,            0.087252,            0.023499,            0.023164,          0.00021286,            0.071429,          0.00013266,          3.2519e-05,            0.065604,           0.0086707,            0.017032,          0.00052707,          0.00052707,            0.095227
                  54,            0.083952,            0.021144,            0.023438,          0.00021791,            0.071429,          0.00013373,          3.2822e-05,            0.065344,           0.0086855,            0.017024,           0.0005369,           0.0005369,            0.095137
                  55,            0.079999,            0.021618,            0.022574,          0.00021589,            0.071429,          0.00012493,           2.414e-05,            0.065335,           0.0086818,            0.017015,          0.00054672,          0.00054672,            0.095047
                  56,            0.084322,            0.022869,            0.022335,          0.00021259,            0.071429,           0.0001227,          3.5992e-05,            0.065212,            0.008693,            0.017009,          0.00055654,          0.00055654,            0.094957
                  57,            0.084065,            0.023495,            0.023484,          0.00021268,            0.071429,          0.00013561,          3.1743e-05,            0.065262,           0.0086867,            0.017004,          0.00056635,          0.00056635,            0.094866
                  58,            0.085264,             0.02238,            0.023893,          0.00032175,             0.10714,          0.00020691,          2.0691e-05,            0.065145,           0.0086871,            0.017001,          0.00057616,          0.00057616,            0.094776
                  59,            0.085777,            0.020652,            0.023634,          0.00021259,            0.071429,          0.00013482,          1.3482e-05,            0.065117,           0.0086774,            0.017003,          0.00058596,          0.00058596,            0.094686
                  60,            0.082753,            0.025402,            0.022289,          0.00021654,            0.071429,          0.00012576,          2.5455e-05,            0.065261,           0.0086469,            0.016999,          0.00059575,          0.00059575,            0.094596
                  61,            0.081505,              0.0211,            0.023319,          0.00021259,            0.071429,          0.00013058,          2.5503e-05,            0.065197,           0.0086383,            0.017001,          0.00060553,          0.00060553,            0.094506
                  62,            0.081837,            0.021812,            0.023661,          0.00022247,            0.071429,          0.00014434,          2.7497e-05,            0.065063,           0.0086356,            0.017007,          0.00061531,          0.00061531,            0.094415
                  63,            0.084394,             0.02286,            0.022438,          0.00021858,            0.071429,          0.00012882,          3.1721e-05,            0.065153,           0.0086133,            0.017001,          0.00062508,          0.00062508,            0.094325
